lesson,category,дума,transliteration,обяснение,notes
Lesson 1,Поздрави,Здравей!,Zdravey!,Hallo!,common greeting
Lesson 1,Поздрави,Добро утро,Dobro utro,Goedemorgen,
Lesson 1,Поздрави,Добър вечер,Dobŭr vecher,Goedenavond,
Lesson 1,Поздрави,Довиждане,Dovizhdane,Tot ziens,
Lesson 1,Поздрави,Как си?,Kak si?,Hoe gaat het?,informal
Lesson 1,Поздрави,Приятно ми е,Pryatno mi e,Aangenaam,
Lesson 1,Поздрави,Благодаря,Blagodarya,Dank je,
Lesson 1,Поздрави,Моля,Molya,Alsjeblieft/geen probleem,
Lesson 2,Храна,ябълка,yabǎlka,appel,fruit
Lesson 2,Храна,хляб,hlyab,brood,staple
Lesson 2,Храна,супа,supa,soep,
Lesson 2,Храна,вода,voda,water,
Lesson 2,Храна,масло,maslo,boter,
Lesson 2,Храна,мляко,mlyako,melk,
Lesson 2,Храна,пиле,pile,kip,
Lesson 2,Храна,риба,riba,vis,
Lesson 3,Семейство,майка,mayka,moeder,
Lesson 3,Семейство,баща,bashcha,vader,
Lesson 3,Семейство,сестра,sestra,zus,
Lesson 3,Семейство,брат,brat,broer,
Lesson 3,Семейство,дете,dete,kind,
Lesson 3,Семейство,баба,baba,oma,
Lesson 3,Семейство,дядо,dyado,opa,
Lesson 3,Семейство,семейство,semeystvo,gezin,
Lesson 4,Животни,куче,kucheh,hond,
Lesson 4,Животни,котка,kotka,kat,
Lesson 4,Животни,кон,kon,paard,
Lesson 4,Животни,коза,koza,geit,
Lesson 4,Животни,птица,ptitsa,vogel,
Lesson 4,Животни,риба,riba,vis,also in food
Lesson 4,Животни,заек,zaek,haas,
Lesson 4,Животни,мравка,mrava,mier,
Lesson 5,Глаголи,говоря,govorya,spreken,to speak
Lesson 5,Глаголи,смея,semeja,lachen,
Lesson 5,Глаголи,ям,yam,eten,
Lesson 5,Глаголи,пия,piya,drinken,
Lesson 5,Глаголи,чета,cheta,lezen,
Lesson 5,Глаголи,пиша,pisha,schrijven,
Lesson 5,Глаголи,ходя,hodya,lopen,
Lesson 5,Глаголи,спя,spya,slapen,
Lesson 6,Прилагателни,голям,golyam,groot,
Lesson 6,Прилагателни,малък,malak,klein,
Lesson 6,Прилагателни,бърз,barz,snel,
Lesson 6,Прилагателни,бавен,baven,traag,
Lesson 6,Прилагателни,топъл,topal,warm,
Lesson 6,Прилагателни,студен,studen,koud,
Lesson 6,Прилагателни,щастлив,shtastliv,blij,
Lesson 6,Прилагателни,тъжен,tazhen,verdrietig,include example sentence
